ID,Iniciales,Tiempo,ObsAA,ObsEst,ObsCon,ObsCaos,DNE,G1,G2,G3,X1,X2,X3,ApoyoAut,Estruc,Control,Chaos,SIS_AA,SIS_Est,SIS_Control,SIS_Chaos,NeedSat,NeedFru,AutSat,CompSat,SatRel,FrusAut,FrusComp,FrusRel,SatLab,EmoExha,Cinismo,Engagement,Thriving,Joy,Anger,Anxiety,Hope,Hopelessness,PerGrow,RelGrow,MasGrow,EducaMat,DesBeha,NoGoal,NeedSup,EstDesm,CoreBO,EmoPos,EmoNeg
1,MC,36,"3,666666667","5,666666667","3,8",1,68,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,37,"3,666666667","5,666666667","3,8",1,71,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,38,"3,666666667","5,666666667","3,8",1,58,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,39,"3,666666667","5,666666667","3,8",1,79,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,40,"3,666666667","5,666666667","3,8",1,81,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,41,"4,666666667","5,666666667",1,1,68,5,,,,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,42,"4,666666667","5,666666667",1,1,56,5,,,,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,43,"4,666666667","5,666666667",1,1,80,5,,,,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,44,"4,666666667","5,666666667",1,1,98,5,,,,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,45,"4,666666667","5,666666667",1,1,84,5,,,,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,46,4,6,1,1,73,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,47,4,6,1,1,88,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,48,4,6,1,1,73,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,49,4,6,1,1,86,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,50,4,6,1,1,84,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
